"","lat","lng","class","info","height"
"100",-7.68666,36.88083,"Green","Karenga - 2279m",2279
"101",-18.3,32.84166,"Green","Mt. Nyangani - 2592m",2592
"102",-12.46333,15.1725,"Green","Moro de Moco - 2620m",2620
"103",11.71083,38.23666,"Blue","Guna Terara - 4120m",4120
"104",5.82194,37.84111,"DeepGreen","K'ech'a Terara - 3240m",3240
"105",2.19166,36.81583,"Green","Mt. Ng'iro - 2848m",2848
"106",9.25666,41.72916,"DeepGreen","Gara Muleta - 3405m",3405
"107",10.73583,47.24333,"Green","Shimbiris - 2416m",2416
"108",24.20416,35.00333,"LightGreen","Jabal Hamatah - 1977m",1977
"109",35.35833,-5.27416,"LightGreen","Jebel Kelti - 1926m",1926
"110",-4.47916,35.71166,"Green","Serra Chiperone - 2054m",2054
"111",-7.505,29.985,"Green","Marungu - 2480m",2480
"112",4.12583,33.80166,"Green","Jabal Lotuke - 2795m",2795
"113",-1.51916,29.2525,"DeepGreen","Volc�n Nyiragongo - 3472m",3472
"114",5.02083,9.84083,"Green","Massif du Manengouba - 2411m",2411
"115",0.95,37.4,"Green","Warges Range - 2688m",2688
"116",31.3375,-6.99833,"DeepGreen","Jebel Anrhomer - 3610m",3610
"117",3.815,34.03166,"Green","Morungole - 2750m",2750
"118",17.56166,38.00416,"Green","Jebel Hamoyet - 2772m",2772
"119",63.06944,-151.00722,"Orange","Denali - 6194m",6194
"120",61.73111,-143.43527,"Blue","Mt. Blackburn - 4996m",4996
"121",63.61972,-146.71833,"Blue","Mt. Hayes - 4216m",4216
"122",61.43722,-147.75277,"Blue","Mt. Marcus Baker - 4016m",4016
"123",54.75527,-163.96944,"Green","Shishaldin Volcano - 2869m",2869
"124",60.48472,-152.74527,"DeepGreen","Redoubt Volcano - 3108m",3108
"125",61.40888,-152.41388,"DeepGreen","Mt. Torbert - 3479m",3479
"126",56.21972,-159.29833,"Green","Mt. Veniaminof - 2507m",2507
"127",55.41944,-161.895,"Green","Pavlof Volcano - 2515m",2515
"128",60.31888,-139.07277,"Blue","Mt. Hubbard - 4557m",4557
"129",69.27694,-144.91166,"Green","Mt. Chamberlin - 2749m",2749
"130",60.03194,-153.09027,"DeepGreen","Iliamna Volcano - 3053m",3053
"131",60.18638,-139.97694,"Blue","Mt. Cook - 4196m",4196
"132",62.21361,-144.13111,"Blue","Mt. Sanford - 4949m",4949
"133",60.65194,-143.6975,"DeepGreen","Mt. Tom White - 3417m",3417
"134",63.23861,-144.64388,"DeepGreen","Mt. Kimball - 3155m",3155
"135",62.96027,-151.40027,"Yellow","Mt. Foraker - 5304m",5304
"136",58.35388,-155.095,"Green","Mt. Griggs - 2332m",2332
"137",58.66277,-137.17472,"DeepGreen","Mt. Crillon - 3879m",3879
"138",NA,61.80388,"Green","North Buttress - 2996m",2996
"139",53.12333,-168.69222,"Green","Mt. Vsevidof - 2103m",2103
"140",61.38527,-141.75055,"Yellow","Mt. Bona - 5045m",5045
"141",62.11583,-144.64,"DeepGreen","Mt. Drum - 3661m",3661
"142",57.13333,-156.98611,"Green","Mt. Chiginagak - 2111m",2111
"143",60.79861,-153.39388,"Green","Neacola Mtns. HP - 2873m",2873
"144",62.42305,-152.72555,"Green","Kichatna Spire - 2739m",2739
"145",60.83027,-145.13194,"Green","Pt. 8084 - 2464m",2464
"146",54.57083,-164.69333,"LightGreen","Pogromni Volcano - 1991m",1991
"147",61.16055,-144.81305,"Green","Pt. 8010 - 2441m",2441
"148",58.85916,-153.53527,"Green","Mt. Douglas - 2149m",2149
"149",67.41305,-154.96638,"Green","Mt. Igikpak - 2523m",2523
"150",58.17305,-133.40166,"Green","Snow Tower - 2003m",2003
"151",59.91277,-150.43583,"Green","Truuli Peak - 2015m",2015
"152",53.88555,-166.93305,"LightGreen","Makushin Volcano - 1829m",1829
"153",61.52166,-141.10305,"Blue","Mt. Natazhat - 4095m",4095
"154",51.8825,-178.14388,"LightGreen","Tanaga Volcano - 1806m",1806
"155",61.06694,-143.70833,"Green","Hanagita Peak - 2592m",2592
"156",62.13111,-148.60444,"Green","Sovereign Mtn. - 2697m",2697
"157",60.57722,-148.89138,"LightGreen","Isthmus Peak - 1991m",1991
"158",54.76833,-163.73083,"Green","Isanotski Peaks - 2471m",2471
"159",55.06777,-162.83527,"LightGreen","Frosty Peak - 1769m",1769
"160",52.08194,-176.13583,"LightGreen","Great Sitkin Volcano - 1740m",1740
"161",52.82388,-169.94666,"LightGreen","Mt. Cleveland - 1730m",1730
"162",62.00638,-144.01777,"Blue","Mt. Wrangell - 4317m",4317
"163",60.52027,-143.09388,"DeepGreen","Mt. Steller - 3266m",3266
"164",62.79833,-151.88416,"DeepGreen","Mt. Russell - 3557m",3557
"165",57.01472,-134.98861,"LightGreen","Baranof Is. HP - 1643m",1643
"166",60.92833,-142.52388,"Green","Pt. 8517 - 2596m",2596
"167",60.19138,-139.435,"DeepGreen","Mt. Foresta - 3368m",3368
"168",52.89222,-170.05888,"LightGreen","Carlisle Is. HP - 1610m",1610
"169",61.3075,-148.87027,"Green","Bashful Peak - 2440m",2440
"170",60.46083,-142.30333,"DeepGreen","Mt. Miller - 3277m",3277
"171",51.78833,-178.79416,"LightGreen","Mt. Gareloi - 1573m",1573
"172",63.63777,-147.23888,"DeepGreen","Mt. Deborah - 3761m",3761
"173",61.1125,-153.46944,"Green","Pt. 8336 - 2541m",2541
"174",61.495,-153.62277,"Green","Pt. 8488 - 2587m",2587
"175",60.30527,-140.46027,"Blue","Mt. Augusta - 4289m",4289
"176",52.38055,-174.16611,"LightGreen","Korovin Volcano - 1533m",1533
"177",61.32972,-144.96,"Green","Pt. 6915 - 2108m",2108
"178",61.28333,-141.14333,"Blue","Mt. Bear� - 4521m",4521
"179",60.45666,-153.675,"LightGreen","Pt. 6200+ - 1905m",1905
"180",-83.33333,165.8,"Blue","Mt. Miller - 4160m",4160
"181",-77.03333,-126.1,"Blue","Mt. Sidley - 4285m",4285
"182",-64.26666,-62.41666,"Green","Mt. Parry - 2520m",2520
"183",-84.33333,166.41666,"Blue","Mt. Kirkpatrick - 4528m",4528
"184",-71.78333,168.75,"Blue","Mt. Minto - 4165m",4165
"185",-64.63333,-63.45,"Green","Mt. Francais - 2760m",2760
"186",-69.81666,-69.71666,"Green","Mt. Stephenson - 2987m",2987
"187",-73.43333,-126.66666,"DeepGreen","Mt. Siple - 3110m",3110
"188",-77.52916,167.15277,"DeepGreen","Mt. Erebus - 3794m",3794
"189",-78.58333,-85.41666,"Blue","Mt. Vinson - 4892m",4892
"190",-86.3,158,"DeepGreen","Pt. 3938 - 3938m",3938
"191",-78.51666,163.58333,"Green","Mt. Morning - 2725m",2725
"192",-72.95,169.38333,"Green","Mt. Brewster - 2025m",2025
"193",-80.21666,157.43333,"DeepGreen","Mt. McClintock - 3490m",3490
"194",-64.21666,-57.63333,"LightGreen","Mt. Haddington - 1630m",1630
"195",-67.66666,-67.5,"LightGreen","Mt. Verne - 1632m",1632
"196",-78.36666,165.01666,"Green","Mt. Discovery - 2680m",2680
"197",-80.36666,77.35,"Blue","Dome Argus - 4091m",4091
"198",-68.83055,-90.62777,"LightGreen","Lars Christiansen Peak - 1640m",1640
"199",-83.9,168.38333,"Blue","Mt. Elizabeth - 4480m",4480
"200",-77.51666,168.53333,"DeepGreen","Mt. Terror - 3230m",3230
"201",-74.35,164.7,"Green","Mt. Melbourne - 2730m",2730
"202",-62.66861,-60.1875,"LightGreen","Mt. Friesland - 1700m",1700
"203",-76.8,-117.7,"DeepGreen","Mt. Frakes - 3675m",3675
"204",-84.55,175.31666,"Blue","Mt. Kaplan - 4230m",4230
"205",-73.06666,165.7,"DeepGreen","Mt. Supernal - 3655m",3655
"206",-73.41666,166.3,"DeepGreen","Mt. Murchison - 3501m",3501
"207",-70.58333,-70.16666,"Green","Pt. 2486 - 2486m",2486
"208",-75.8,-115.81666,"DeepGreen","Richmond Peak - 3595m",3595
"209",-73.53333,169.7,"Green","Hawkes Heights - 2000m",2000
"210",-75.33333,-110.73333,"Green","Mt. Murphy - 2705m",2705
"211",-69,71,"Green","Gora Georgia Pobedonosca - 2896m",2896
"212",-82.85,161.35,"Blue","Mt. Markham - 4350m",4350
"213",-63.005,-62.535,"Green","Mt. Foster - 2105m",2105
"214",-76.28888,-112.15583,"DeepGreen","Mt. Takahe - 3460m",3460
"215",-71.38333,-63.36666,"DeepGreen","Mt. Jackson - 3184m",3184
"216",-61.28333,-54.13333,"Green","Mt. Irving - 2300m",2300
"217",-67.53333,-68.61666,"Green","Mt. Gaudry - 2315m",2315
"218",-78.06666,162.68333,"Blue","Mt. Lister - 4025m",4025
"219",45.7425,82.7575,"DeepGreen","Kertau - 3282m",3282
"220",48.63083,86.83916,"DeepGreen","Dzhata - 3085m",3085
"221",44.31,81.98416,"DeepGreen","Kokirqin Shan - 3698m",3698
"222",47.04916,85.56666,"DeepGreen","Sauyr Zhotasy - 3840m",3840
"223",45.04166,80.2575,"Blue","Gora Alagordy - 4622m",4622
"224",49.14583,87.81916,"Blue","Nayramadlin Orgil - 4374m",4374
"225",45.1925,90.90666,"DeepGreen","Dunheger - 3315m",3315
"226",45.18,141.23916,"LightGreen","Rishiri-fuji - 1721m",1721
"227",47.18833,82.46583,"Green","Khrebet Tarbagatay HP - 2993m",2993
"228",49.8075,86.59,"Blue","Gora Belukha - 4506m",4506
"229",47.68861,92.565,"DeepGreen","Jargalant Hayrhan - 3796m",3796
"230",47.60833,97.5525,"Blue","Otgon Tenger Uul - 4000m",4000
"231",44.79916,95.24,"DeepGreen","Ich Obo - 3802m",3802
"232",44.995,100.23083,"DeepGreen","Tergun Bogd - 3957m",3957
"233",46.6175,93.59416,"Blue","Sutay Uul - 4220m",4220
"234",48.68166,90.725,"Blue","Tsast Ula - 4208m",4208
"235",49.57,91.38583,"Blue","Harhiraa Uul - 4040m",4040
"236",46.89,91.47333,"Blue","Munkh Hayrhan - 4231m",4231
"237",46.78916,95.80083,"DeepGreen","Hasagt Hayrhan Uul - 3578m",3578
"238",44.89666,101.57666,"DeepGreen","Myangan Yamaat - 3600m",3600
"239",48.75,91.62,"DeepGreen","Altan Hohiy - 3350m",3350
"240",47.2875,93.03083,"DeepGreen","Bumbag Hayrhan Uul - 3470m",3470
"241",49.79916,89.75416,"Blue","Turgen Uul - 4029m",4029
"242",46.96916,92.725,"DeepGreen","Baatar Hayrhan - 3984m",3984
"243",51.71916,100.5975,"DeepGreen","Munku Sardyk - 3491m",3491
"244",56.05416,160.64083,"Blue","Klyuchevskaya Sopka - 4750m",4750
"245",56.65333,161.36166,"DeepGreen","Shiveluch - 3307m",3307
"246",55.67833,157.71833,"DeepGreen","Ichinsky V. - 3607m",3607
"247",53.32083,158.7125,"DeepGreen","Koryaksky V. - 3456m",3456
"248",54.7525,160.5325,"DeepGreen","Kronotsky - 3527m",3527
"249",50.86083,155.56416,"Green","Alaid V. - 2339m",2339
"250",53.58833,159.14833,"Green","Zhupanovsky V. - 2923m",2923
"251",55.83083,160.32583,"DeepGreen","Mt. Ostry Tolbachik - 3672m",3672
"252",56.86416,117.575,"DeepGreen","Pik BAM - 3072m",3072
"253",55.97416,114.43444,"DeepGreen","Yuzhno Muiskyy Khrebet HP - 3067m",3067
"254",52.54333,157.33916,"Green","Opala V. - 2460m",2460
"255",48.89666,138.05333,"Green","Gora Tardoki-Yani - 2090m",2090
"256",51.30583,156.87583,"Green","Kambalny V. - 2161m",2161
"257",57.92083,160.67583,"Green","Gora Khuvkhoitun - 2616m",2616
"258",53.60666,134.575,"Green","Yam-Alin Range HP - 2370m",2370
"259",56.6925,159.645,"Green","Gora Alney - 2598m",2598
"260",56.35583,111.6475,"Green","Verkhne-Angarskiy Khrebet HP - 2641m",2641
"261",44.35333,146.2475,"LightGreen","Tyatya V. - 1819m",1819
"262",50.32333,155.46083,"LightGreen","Chikurachki V. - 1816m",1816
"263",50.0625,87.56416,"Blue","Severo-Chuyskiy Khrebet HP - 4177m",4177
"264",57.12166,117.98833,"Green","North Kodar Group HP - 2966m",2966
"265",52.0625,157.71,"Green","Khodutka V. - 2089m",2089
"266",54.97416,160.70333,"Green","Gora Gamchen - 2577m",2577
"267",52.44833,158.1975,"Green","Mutnovsky V. - 2322m",2322
"268",51.57666,157.32833,"LightGreen","Zheltovsky V. - 1957m",1957
"269",54.62166,110.45583,"Green","Barguzinskiy Khrebet HP - 2841m",2841
"270",50.27916,90.11916,"DeepGreen","Gora Mungun-Tayga - 3970m",3970
"271",55.8975,130.45333,"Green","Tokinskiy Stanovik HP - 2380m",2380
"272",44.8375,147.34333,"LightGreen","Gora Stokap - 1634m",1634
"273",55.75833,160.52666,"Green","Gora Bolshaya Udina - 2920m",2920
"274",50.2675,155.2475,"LightGreen","Fussa V. - 1772m",1772
"275",53.90416,158.07,"Green","Gora Bakening - 2276m",2276
"276",52.705,158.28166,"Green","Vilyuchinsky V. - 2173m",2173
"277",50.85166,143.14166,"LightGreen","Gora Lopatina - 1609m",1609
"278",55.06,108.685,"Green","Gora Cherskogo - 2588m",2588
"279",56.06916,115.86166,"Green","Gora Shaman - 2363m",2363
"280",55.86083,160.60583,"DeepGreen","Gora Oval'naya Zimina - 3080m",3080
"281",53.25583,158.83666,"Green","Avachinsky V. - 2741m",2741
"282",54.52833,159.80416,"Green","Sopka Taunshits - 2353m",2353
"283",45.3375,147.91916,"LightGreen","Gora Bogdan Khmel'nitskiy - 1585m",1585
"284",46.81472,151.78666,"LightGreen","Milne V. - 1539m",1539
"285",53.89333,96.0075,"Green","Pik Grandiozniyy - 2891m",2891
"286",55.13083,160.32,"Green","Kizimen V. - 2375m",2375
"287",52.58,94.27,"Green","Khrebet Baldyrgannyg HP - 2522m",2522
"288",56.67222,119.125,"Green","Khrebet Udokan HP - 2570m",2570
"289",59.0675,151.53166,"LightGreen","Skalistaya - 1548m",1548
"290",52.4325,137.66166,"LightGreen","Omel'dinskiy Khrebet HP - 1573m",1573
"291",52.84333,99.69416,"DeepGreen","Khrebet Kropotkina HP - 3149m",3149
"292",53.64083,97.2375,"Green","Bolshoi Sayan Range HP - 2938m",2938
"293",27.98833,86.92416,"DarkRed","Mt. Everest - 8848m",8848
"294",-4.08361,137.18472,"Blue","Puncak Jaya - 4884m",4884
"295",43.355,42.43916,"Yellow","Gora El'brus - 5642m",5642
"296",35.95583,52.10861,"Yellow","Kuh-e Damavand - 5610m",5610
"297",35.23777,74.58972,"DarkRed","Nanga Parbat - 8125m",8125
"298",42.035,80.125,"Red","Jengish Chokusu - 7439m",7439
"299",43.80166,88.3325,"Yellow","Bogda Shan - 5445m",5445
"300",29.63166,95.055,"Red","Namcha Barwa I - 7782m",7782
"301",6.075,116.55833,"Blue","Gunung Kinabalu - 4095m",4095
"302",35.8825,76.51333,"DarkRed","K2 - 8611m",8611
"303",23.47,120.9575,"DeepGreen","Yu Shan - 3952m",3952
"304",27.70333,88.1475,"DarkRed","Kangchenjunga - 8586m",8586
"305",36.25416,71.84333,"Red","Tirich Mir - 7708m",7708
"306",-1.69666,101.26416,"DeepGreen","Gunung Kerinci - 3805m",3805
"307",35.36055,138.72777,"DeepGreen","Fuji-san - 3776m",3776
"308",-8.1075,112.9225,"DeepGreen","Gunung Semeru - 3676m",3676
"309",-8.41,116.45833,"DeepGreen","Gunung Rinjani - 3726m",3726
"310",29.59583,101.87916,"Red","Minya Konka - 7556m",7556
"311",39.7025,44.3,"Yellow","Ararat - 5137m",5137
"312",38.59416,75.31333,"Red","Kongur Tagh - 7649m",7649
"313",-3.385,120.02416,"DeepGreen","Bulu Rantemario - 3478m",3478
"314",38.9425,72.015,"Red","Pik Imeni Ismail Samani  - 7495m",7495
"315",28.69666,83.48833,"DarkRed","Dhaulagiri I - 8167m",8167
"316",38.26722,47.83472,"Blue","Kuh-e-Sabalan - 4811m",4811
"317",-7.23916,109.22,"DeepGreen","Gunung Slamet - 3428m",3428
"318",43.07333,94.34666,"Blue","Tomurty - 4886m",4886
"319",27.09833,100.175,"Yellow","Shanzidou - 5596m",5596
"320",30.37666,79.97083,"Red","Nanda Devi - 7816m",7816
"321",36.51,74.5225,"Red","Batura Sar I - 7795m",7795
"322",-7.6275,111.19416,"DeepGreen","Gunung Lawu - 3265m",3265
"323",28.55,84.56083,"DarkRed","Manaslu - 8163m",8163
"324",42.26166,80.89,"Orange","Xuelian Feng - 6627m",6627
"325",-8.12583,114.04583,"DeepGreen","Gunung Raung - 3332m",3332
"326",-3.17333,129.455,"DeepGreen","Gunung Binaiya - 3027m",3027
"327",-8.34083,115.50333,"DeepGreen","Gunung Agung - 3031m",3031
"328",28.04833,90.45416,"Red","Kangkar P�nzum - 7570m",7570
"329",28.59583,83.82083,"DarkRed","Annapurna I - 8091m",8091
"330",43.11833,77.34083,"Blue","Talghar Shyngy - 4978m",4978
"331",6.9875,125.27083,"Green","Mt. Apo - 2954m",2954
"332",-8.90666,125.49333,"Green","Mt. Ramelau - 2963m",2963
"333",29.81416,94.96833,"Red","Gyalha Peri - 7294m",7294
"334",38.86583,75.10833,"Orange","Chakragil - 6727m",6727
"335",3.7975,97.21916,"DeepGreen","Gunung Leuser - 3466m",3466
"336",16.5975,120.89916,"Green","Mt. Pulog - 2922m",2922
"337",28.6,61.1325,"DeepGreen","Kuh-e Taftan - 3941m",3941
"338",23.23694,57.26388,"DeepGreen","Jebel Shams - 3019m",3019
"339",28.3525,85.77916,"DarkRed","Shisha Pangma - 8027m",8027
"340",25.74,95.0375,"DeepGreen","Saramati - 3826m",3826
"341",-5.34666,119.93166,"Green","Moncong Lompobatang - 2874m",2874
"342",36.17916,70.98333,"Orange","Kuh-e Bandaka - 6843m",6843
"343",36.15416,72.3275,"Orange","Buni Zom - 6542m",6542
"344",30.92,79.59166,"Red","Kamet I - 7756m",7756
"345",36.1425,74.48916,"Red","Rakaposhi - 7788m",7788
"346",31.54333,103.85333,"Blue","Jiuding Shan - 4969m",4969
"347",-7.76416,112.58916,"DeepGreen","Gunung Arjuna - 3339m",3339
"348",-6.89333,108.40666,"DeepGreen","Gunung Careme - 3078m",3078
"349",39.34333,72.8775,"Red","Ibn Sina Peak  - 7134m",7134
"350",30.43583,81.29583,"Red","Gurla Mandhata - 7694m",7694
"351",-1.15666,133.98,"Green","Pegunungan Arfak - 2940m",2940
"352",-4.70833,140.28916,"Blue","Puncak Mandala - 4760m",4760
"353",-7.96416,113.56666,"DeepGreen","Gunung Argopuro - 3088m",3088
"354",29.51166,57.27166,"Blue","Kuh-e Hazar - 4500m",4500
"355",38.27833,75.11583,"Red","Muztagh Ata - 7509m",7509
"356",-8.24666,117.95833,"Green","Gunung Tambora - 2722m",2722
"357",-3.3,126.22,"Green","Gunung Kapalatmada - 2700m",2700
"358",37.1625,72.48166,"Orange","Pik Karla Marxsa - 6723m",6723
"359",41.05916,77.68333,"Yellow","Pik Dankova - 5982m",5982
"360",31.10666,102.90166,"Orange","Yaomei Feng - 6250m",6250
"361",30.95166,51.4375,"Blue","Kuh-e Dinar - 4409m",4409
"362",41.99333,128.0775,"Green","Paektu-san - 2744m",2744
"363",7.445,126.22666,"Green","Mt. Tagubud - 2670m",2670
"364",13.2625,120.995,"Green","Mt. Halcon - 2582m",2582
"365",43.57916,85.11916,"Yellow","Borgora - 5248m",5248
"366",35.64222,76.30666,"Red","Masherbrum - 7821m",7821
"367",36.73,73.24,"Orange","Koyo Zom - 6872m",6872
"368",-7.385,110.0725,"DeepGreen","Gunung Sumbing - 3320m",3320
"369",0.5775,120.205,"DeepGreen","Fuyul Sojol - 3030m",3030
"370",36.32583,75.18833,"Red","Disteghil Sar I - 7885m",7885
"371",38.5,97.725,"Yellow","Kangze'gyai - 5808m",5808
"372",7.00083,80.77333,"Green","Pidurutalagala - 2524m",2524
"373",39.25083,93.69666,"Yellow","Altun Shan - 5830m",5830
"374",37.48583,44.005,"Blue","Uludoruk Tepe - 4136m",4136
"375",10.17,77.06083,"Green","Anai Mudi - 2694m",2694
"376",38.09333,71.095,"Yellow","Kuh-e Safed Khers HP - 5326m",5326
"377",26.14916,102.91333,"Blue","Hung-Wang Shan HP  - 4330m",4330
"378",13.25583,123.68583,"Green","Mayon Volcano - 2462m",2462
"379",41.22166,47.85833,"Blue","Gora Bazardyuzi - 4466m",4466
"380",36.77833,71.45166,"Yellow","Kuh-e Chuk Shakh - 5467m",5467
"381",-4.01583,103.12833,"DeepGreen","Gunung Dempo - 3159m",3159
"382",8.11722,124.92361,"Green","Mt. Katanglad - 2938m",2938
"383",28.50972,33.95527,"Green","Jebel Katarina - 2629m",2629
"384",28.53333,84.12166,"Red","Annapurna II - 7937m",7937
"385",36.61166,75.08027,"Orange","Karun Kuh - 6977m",6977
"386",-7.455,110.44,"DeepGreen","Gunung Merbabu - 3145m",3145
